rule_id,tool,severity,message,developer_action
R001,pmd,critical,This is a simulated violation message number 1.,ignored
R002,pmd,high,This is a simulated violation message number 2.,resolved
R003,spotbugs,medium,This is a simulated violation message number 3.,resolved
R004,checkstyle,critical,This is a simulated violation message number 4.,resolved
R005,pmd,high,This is a simulated violation message number 5.,resolved
R006,spotbugs,high,This is a simulated violation message number 6.,ignored
R007,spotbugs,low,This is a simulated violation message number 7.,ignored
R008,checkstyle,medium,This is a simulated violation message number 8.,overridden
R009,spotbugs,critical,This is a simulated violation message number 9.,ignored
R010,checkstyle,low,This is a simulated violation message number 10.,ignored
R011,checkstyle,high,This is a simulated violation message number 11.,resolved
R012,checkstyle,high,This is a simulated violation message number 12.,overridden
R013,spotbugs,critical,This is a simulated violation message number 13.,
R014,spotbugs,critical,This is a simulated violation message number 14.,
R015,spotbugs,medium,This is a simulated violation message number 15.,resolved
R016,spotbugs,high,This is a simulated violation message number 16.,resolved
R017,spotbugs,critical,This is a simulated violation message number 17.,resolved
R018,pmd,medium,This is a simulated violation message number 18.,resolved
R019,pmd,low,This is a simulated violation message number 19.,resolved
R020,checkstyle,high,This is a simulated violation message number 20.,resolved
R021,spotbugs,low,This is a simulated violation message number 21.,resolved
R022,pmd,critical,This is a simulated violation message number 22.,resolved
R023,spotbugs,low,This is a simulated violation message number 23.,resolved
R024,spotbugs,low,This is a simulated violation message number 24.,ignored
R025,pmd,low,This is a simulated violation message number 25.,
R026,checkstyle,medium,This is a simulated violation message number 26.,ignored
R027,checkstyle,high,This is a simulated violation message number 27.,resolved
R028,pmd,medium,This is a simulated violation message number 28.,ignored
R029,pmd,medium,This is a simulated violation message number 29.,ignored
R030,checkstyle,critical,This is a simulated violation message number 30.,
